MosaicID,UniprotID,GeneSymbol,Description,Peptides,A_plus_1,A_plus_2,A_plus_3,A_minus_1,A_minus_2,A_minus_3,B_plus_1,B_plus_2,B_plus_3,B_minus_1,B_minus_2,B_minus_3,A_plus_1_48,A_plus_2_48,A_plus_3_48,A_minus_1_48,A_minus_2_48,A_minus_3_48
TUBB__P07437,P07437,TUBB,Tubulin beta chain,5,3.70979,3.45018,3.7509,3.30059,3.06932,13.1822,3.54608,3.84763,15.9315,3.94701,3.74502,8.33858,3.16411,3.53575,5.61736,3.90871,6.0401,7.91517
TUBB4B__P68371,P68371,TUBB4B,Tubulin beta-4B chain,19,6.34169,6.59657,15.1331,5.11141,5.35628,1.44561,6.2272,6.24159,1.72724,6.03155,6.52696,1.52645,5.06425,4.96465,5.17519,6.30257,6.44354,3.78411
TLN1__Q9Y490,Q9Y490,TLN1,Talin-1,8,8.04404,8.25416,0.726209,5.27706,5.8249,1.46851,8.55331,8.32634,2.06808,7.095,7.02493,2.7866,6.02295,5.33631,8.13596,6.4195,6.98169,1.65445
FTSJ3__Q8IY81,Q8IY81,FTSJ3,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3,1,5.52177,5.25686,0,8.6738,8.21848,0,6.41084,7.08444,0,5.42329,6.0754,0,12.5313,14.0064,8.61675,6.87874,5.30193,0
NONO__Q15233,Q15233,NONO,Non-POU domain-containing octamer-binding protein,6,7.66849,8.19271,0,4.77298,8.01394,0,7.85285,7.52204,0,6.32312,6.1039,3.61894,6.77596,7.08511,8.87265,6.85133,6.23724,4.10876
SON__P18583_9,P18583-9,SON,Isoform I of Protein SON,9,7.43516,6.94294,0,7.58256,7.46476,4.62976,6.66655,6.72128,3.33189,8.42362,8.129,0,6.35916,6.884,6.36198,6.79766,6.26969,0
UROD__P06132,P06132,UROD,Uroporphyrinogen decarboxylase,1,8.98835,7.90099,0,7.85429,7.91274,0,8.94105,8.30058,0,9.17894,8.45223,0,7.90244,12.3564,0,5.09536,7.11662,0
ALDOA__P04075_2,P04075-2,ALDOA,Isoform 2 of Fructose-bisphosphate aldolase A,13,2.30535,2.22532,20.9505,1.51762,1.51697,13.7621,2.11237,2.18785,19.0133,1.65164,1.66147,11.7885,2.07267,1.83186,6.61722,1.77141,1.56494,5.44884
MACROH2A1__O75367,O75367,MACROH2A1,Core histone macro-H2A.1,2,7.87397,7.77266,0,12.8886,10.3833,0,7.67828,6.96854,0,10.597,9.62525,0,8.54928,8.88957,0,5.43144,3.3421,0
CDC73__Q6P1J9,Q6P1J9,CDC73,Parafibromin,2,8.92912,8.00159,0,8.18418,11.2494,0,7.729,9.60116,0,9.12629,9.26467,0,7.75596,7.89803,0,7.72734,4.5332,0
DYNC1H1__Q14204,Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,7,6.89909,7.78984,0,5.93975,6.22315,0,8.68188,7.83302,7.8216,7.59145,7.64124,0,6.81699,6.20034,5.75207,7.21321,7.59637,0
HSPD1__P10809,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",8,9.30854,8.00674,0,6.13903,6.40189,0.975162,8.1361,8.37616,5.69053,7.57788,6.69826,0.115949,7.31991,6.92532,3.83933,6.3573,5.60648,2.52544
EWSR1__Q01844_5,Q01844-5,EWSR1,Isoform 5 of RNA-binding protein EWS,5,4.57622,4.43585,6.57708,5.92905,6.17592,5.08349,4.21924,4.43686,0.209254,5.3661,5.32901,11.5655,5.61112,5.69961,9.12581,5.86719,4.65621,5.13647
DDX21__Q9NR30,Q9NR30,DDX21,Nucleolar RNA helicase 2,4,6.45507,6.22475,0,10.3802,9.91486,0,5.84343,6.11476,0.28898,9.24156,8.97771,0.519306,9.68494,9.58189,0,8.57327,5.87773,2.32157
SF3B2__Q13435,Q13435,SF3B2,Splicing factor 3B subunit 2,6,6.07743,6.40171,0,5.74155,8.01078,5.5519,4.69457,4.50226,14.4082,5.35088,5.81346,6.18798,5.11966,4.92473,2.69652,4.93417,5.17235,4.41187
HBE1__P02100,P02100,HBE1,Hemoglobin subunit epsilon,11,6.69285,7.3524,0,7.12177,6.58948,2.18318,6.47603,6.63762,3.39797,6.38692,6.79453,3.89623,7.90391,7.83033,5.99703,5.88977,6.23352,2.61646
HBG1__P69891,P69891,HBG1,Hemoglobin subunit gamma-1,13,8.10457,8.47976,0.109006,8.41628,8.91543,0.0609992,7.30663,6.81309,1.42727,6.9695,7.58187,2.14315,7.90712,8.3548,4.966,6.40603,6.0385,0
HBG2__P69892,P69892,HBG2,Hemoglobin subunit gamma-2,1,8.84527,8.61946,0,7.5283,7.58867,0,8.66174,7.88885,0,8.1984,7.49401,0,7.99002,7.8806,0,10.3023,9.00241,0
HBD__P02042,P02042,HBD,Hemoglobin subunit delta,2,6.95104,6.83225,0,5.65083,8.34174,0.616895,5.0084,3.31907,16.1773,5.07428,5.13058,0.330795,4.839,6.28564,5.92457,3.69448,2.53969,13.2835
PGK1__P00558,P00558,PGK1,Phosphoglycerate kinase 1,14,7.78873,7.86731,0,6.49275,6.57544,1.62321,8.09135,7.83322,1.76074,7.00014,7.20067,7.56774,7.73737,7.0766,3.97886,5.77589,5.62997,0
PAICS__P22234_2,P22234-2,PAICS,Isoform 2 of Multifunctional protein ADE2,6,8.11672,8.29467,0,6.59989,6.45717,0,8.63081,8.18777,0,7.16143,7.50676,0,6.2945,6.76411,9.315,7.18082,7.05064,2.4397
RPA2__P15927_3,P15927-3,RPA2,Isoform 3 of Replication protein A 32 kDa subunit,2,7.75401,8.46952,0,7.05866,6.31808,0,7.58486,8.46736,0,9.08923,8.45476,0,10.1006,9.92057,0,9.11697,7.66541,0
HNRNPM__P52272,P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,15,7.50506,7.25066,1.32844,6.44394,7.22488,2.08554,7.62058,7.88909,4.48619,7.10837,6.83101,1.71214,7.79507,7.44378,4.2624,7.16486,5.84797,0
CCT3__P49368,P49368,CCT3,T-complex protein 1 subunit gamma,7,7.74976,7.70213,0.91577,6.51659,6.39888,5.4468,7.63309,7.47852,0,7.48522,6.692,0,7.52606,7.23424,2.86574,7.55181,6.98343,3.81996
TUFM__P49411,P49411,TUFM,"Elongation factor Tu, mitochondrial",9,9.32385,8.74043,0,4.78904,6.15102,2.45929,8.17342,8.14576,0,8.17735,7.6345,0,8.14348,7.82982,5.59034,7.0089,6.092,1.74078
SND1__Q7KZF4,Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1,7,7.88245,8.79032,0.531178,6.45744,6.75748,0.111988,9.14062,8.31367,1.55537,7.15813,7.18755,1.59805,6.65445,6.69842,3.15937,7.25545,7.66712,3.08095
ACSM3__Q53FZ2,Q53FZ2,ACSM3,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",2,12.3931,12.987,0,4.32239,5.25645,0,12.9662,11.7154,0,8.85602,6.38713,0,8.17209,10.0175,0,6.918,0.00863496,0
FASN__P49327,P49327,FASN,Fatty acid synthase,13,7.17268,7.23805,0.904047,4.84313,5.20556,10.4719,7.81767,7.16754,0.0163003,6.22426,6.29602,2.3866,5.99778,5.36926,7.67145,6.17635,6.38991,2.65145
PC__P11498,P11498,PC,"Pyruvate carboxylase, mitochondrial",33,8.3925,6.81571,2.35981,6.88927,7.13032,0.902447,6.37535,7.17081,0.41433,7.85528,7.43203,0,7.27652,8.16643,5.81186,6.74232,5.10619,5.15883
PRDX1__Q06830,Q06830,PRDX1,Peroxiredoxin-1,11,8.56978,9.34004,0,5.69558,7.55742,1.67472,8.81212,8.37749,0,7.09237,6.99244,0.586351,7.31375,6.70854,3.80782,6.41602,7.26785,3.78772
PRDX2__P32119,P32119,PRDX2,Peroxiredoxin-2,4,5.46247,5.48666,0,5.39539,5.39765,2.00533,5.56439,5.17105,9.5868,5.37838,5.34719,5.86888,5.72176,5.6083,5.47235,5.6825,4.96887,11.882
PRDX4__Q13162,Q13162,PRDX4,Peroxiredoxin-4,4,9.55864,9.6094,0,7.81915,7.61466,0,8.7749,9.8357,0,8.93469,7.29294,0,8.02044,7.08804,0,8.05256,7.39886,0
DAD1__P61803,P61803,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,1,8.23107,8.29756,0,9.61895,10.4845,0,12.1971,6.27813,0,6.99547,8.73394,0,10.9859,7.06733,0,11.0984,0.0117333,0
RPS3A__P61247,P61247,RPS3A,40S ribosomal protein S3a,5,7.30203,8.25164,0,5.3243,5.7599,0,7.01748,7.49023,1.40949,6.21428,6.14977,3.80817,6.43074,6.25172,5.3645,8.27623,7.81469,7.13483
CYCS__P99999,P99999,CYCS,Cytochrome c,2,8.93533,10.494,0,7.75692,7.72386,0,10.4463,9.20477,0,7.74202,8.02479,0,8.34895,7.90427,0,6.91352,6.50521,0
HSP90AA1__P07900_2,P07900-2,HSP90AA1,Isoform 2 of Heat shock protein HSP 90-alpha,21,4.63349,4.70182,8.16125,4.08546,4.37888,8.72372,4.77482,4.7034,9.35008,4.7849,4.64005,9.65063,4.55634,4.4502,4.11714,4.24746,4.36403,5.67634
HSP90AB1__P08238,P08238,HSP90AB1,Heat shock protein HSP 90-beta,10,6.58169,6.65358,0,6.24345,6.38249,3.70465,7.06243,6.68841,0,6.70202,6.95778,0.714352,6.79201,6.26211,10.2015,6.90238,7.85943,4.29168
TRAP1__Q12931,Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial",4,8.85372,7.92395,0,6.65464,6.96218,0,7.77395,7.94421,4.36914,8.41162,8.5216,0.23526,7.64932,7.44752,4.4623,6.47979,6.3108,0
HSP90B1__P14625,P14625,HSP90B1,Endoplasmin,3,8.02488,8.17584,0,6.88626,7.68097,0,8.10443,7.97502,0,7.65434,8.03762,0,7.095,6.62271,7.23026,6.88083,7.11034,2.52151
ISYNA1__Q9NPH2,Q9NPH2,ISYNA1,Inositol-3-phosphate synthase 1,1,8.51156,14.1301,0,4.76189,8.44162,0,11.8807,8.56704,0,8.24944,8.55419,0,7.99691,8.7902,0,10.1076,0.00864776,0
SAFB__Q15424_3,Q15424-3,SAFB,Isoform 3 of Scaffold attachment factor B1,3,7.76084,7.41407,0,9.62963,9.30277,0,7.95313,7.42386,0,8.05253,7.94871,0,7.90666,7.67521,2.05803,8.44727,6.86699,1.56028
PSMC4__P43686,P43686,PSMC4,26S proteasome regulatory subunit 6B,3,6.78147,7.51465,0,8.16916,7.86956,0,6.57037,6.94404,0,8.52527,8.13101,0,7.5991,7.14704,3.66002,8.91421,8.51493,3.65918
MKI67__P46013,P46013,MKI67,Proliferation marker protein Ki-67,2,8.49054,8.04495,0,7.91846,9.21927,0,8.21556,9.95527,0,8.67799,5.91623,0,10.1057,7.35554,0,12.2064,3.89405,0
CAT__P04040,P04040,CAT,Catalase,2,7.45024,7.79627,0,7.93719,6.56927,0,9.06324,8.19617,0,8.13527,7.05934,2.19333,7.74125,6.50337,8.38298,8.42927,4.54282,0
TRIM28__Q13263,Q13263,TRIM28,Transcription intermediary factor 1-beta,8,4.37978,3.86114,4.9954,6.29695,5.53983,0,3.75729,4.2178,11.6329,5.48184,5.39074,7.36031,4.80035,4.7437,3.63813,4.93559,4.82599,14.1423
FLNA__P21333,P21333,FLNA,Filamin-A,13,8.15247,9.10602,0,6.9383,7.07255,0.599022,9.18638,9.17906,1.62182,7.92384,7.47038,0,6.03737,5.46192,7.00071,7.0625,6.33503,0.85264
FLNC__Q14315,Q14315,FLNC,Filamin-C,7,7.06487,7.47812,0,5.19072,5.80171,4.38269,7.57818,7.87218,5.21268,6.03488,6.63634,5.85424,5.69663,5.16574,2.21918,6.1529,5.60603,6.0529
RBM4__Q9BWF3,Q9BWF3,RBM4,RNA-binding protein 4,2,7.24779,7.16829,0,8.3463,8.87502,2.90124,7.44948,6.7849,0,8.76432,7.22283,0.0831071,7.70453,7.62213,4.50594,7.78113,7.54298,0
ANXA2__P07355_2,P07355-2,ANXA2,Isoform 2 of Annexin A2,12,9.17209,9.36714,0,6.00795,6.81678,0.479291,9.80524,9.34485,3.51476,7.14673,6.87179,0.450559,7.31495,6.73659,2.14347,7.61834,7.20947,0
SMC3__Q9UQE7,Q9UQE7,SMC3,Structural maintenance of chromosomes protein 3,3,6.08111,6.10853,7.75463,6.38672,6.0013,0,6.12921,6.19626,0,6.95476,7.33302,10.6297,6.46915,6.11991,6.64833,5.35716,5.8302,0
NUMA1__Q14980,Q14980,NUMA1,Nuclear mitotic apparatus protein 1,3,7.40495,7.84023,11.2003,3.50638,5.69087,1.59493,7.28656,7.17897,0,6.17122,6.33831,0,6.09233,5.5482,6.13093,5.19538,5.22525,7.59522
TOP1__P11387,P11387,TOP1,DNA topoisomerase 1,7,6.19783,6.30714,0,9.86012,8.96882,0.604725,6.60129,6.44142,1.84634,8.18852,7.86746,0,6.98372,7.70277,5.75837,8.26503,8.40645,0
THOC2__Q8NI27,Q8NI27,THOC2,THO complex subunit 2,1,6.48928,9.05828,0,10.4967,10.3134,0,8.29502,7.86391,0,12.6246,12.7075,0,7.19714,8.16485,0,6.78157,0.00777412,0
AHNAK__Q09666,Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,4,12.812,13.3532,0,3.9407,4.47338,0,14.5454,14.3381,0,6.06722,6.05566,0.0516822,5.89144,4.59648,3.78113,5.1596,4.934,0
PDCD6IP__Q8WUM4,Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein,8,7.70507,8.26986,0,6.88765,7.11947,0,8.35381,8.26176,0,6.74317,7.44702,0,6.22363,6.16446,5.28302,7.39056,7.89881,6.2517
POLR2A__P24928,P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1,14,6.69515,6.2068,3.87407,7.8249,8.42847,1.18683,6.96155,7.57493,2.72681,8.35244,8.41465,0,6.70303,6.14687,3.28889,7.82702,7.78758,0
VPS35__Q96QK1,Q96QK1,VPS35,Vacuolar protein sorting-associated protein 35,4,9.70078,10.3512,0,6.7012,7.98206,0,10.9538,10.251,0,7.33101,8.87181,0,8.15216,7.13502,0,8.11108,4.45885,0
SFPQ__P23246,P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",5,7.37583,7.18032,0,8.80768,9.73068,0.949294,6.74853,7.31023,0,6.81617,7.48192,0,6.22042,6.81721,5.7345,7.38337,7.67784,3.76601
SSB__P05455,P05455,SSB,Lupus La protein,6,7.17453,8.0142,0,7.14878,7.00194,0.857076,8.14898,8.74604,0,7.08412,7.13065,4.29245,7.54991,7.90484,4.12702,7.40703,7.41243,0
RPS3__P23396_2,P23396-2,RPS3,Isoform 2 of 40S ribosomal protein S3,2,7.86206,7.95093,0,9.00178,8.07964,0,7.63164,6.93162,0,7.84393,8.42611,0,7.13081,7.4337,6.86614,7.54576,7.29588,0
ARPC4__P59998_2,P59998-2,ARPC4,Isoform 2 of Actin-related protein 2/3 complex subunit 4,1,11.4845,10.3515,0,6.45611,10.7587,0,10.0869,13.4244,0,6.96287,9.8224,0,8.00938,8.39897,0,4.23587,0.00842053,0
UBA1__P22314,P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,6,7.63054,7.88172,0,6.94182,7.07176,0,8.13688,7.93591,1.2037,8.458,7.3839,1.38143,8.31772,7.81046,0,6.95179,5.5214,7.37298
CHORDC1__Q9UHD1,Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1,1,5.93673,7.81526,0,9.52722,7.2076,0,9.98395,8.55206,0,8.86002,11.3746,0,7.41947,6.82842,0,8.79979,7.6949,0
ILF3__Q12906,Q12906,ILF3,Interleukin enhancer-binding factor 3,19,5.53926,5.31351,1.98218,7.63506,7.65934,6.17165,5.21919,5.51898,4.73262,6.31139,6.21921,1.73424,6.44391,6.73286,5.23153,6.57045,6.48863,4.49599
STRBP__Q96SI9,Q96SI9,STRBP,Spermatid perinuclear RNA-binding protein,2,5.05951,4.76495,15.0587,7.4671,6.85328,0,5.57656,5.32593,0,6.13455,5.96824,8.06598,6.1449,6.91289,2.71111,6.85332,7.10303,0
PARP1__P09874,P09874,PARP1,Poly [ADP-ribose] polymerase 1,14,6.32683,6.2651,0,8.12973,7.73131,1.67743,7.06982,6.76524,0.633103,7.47109,7.81515,1.62243,7.3228,7.72584,8.16086,7.45261,7.83065,0
PCCA__P05165,P05165,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial",48,7.93404,7.02231,2.46943,4.71928,4.89596,2.26546,6.7066,7.11532,6.42551,5.61258,5.48,3.30375,6.70346,7.08766,5.18055,5.66716,5.79489,5.61604
NPLOC4__Q8TAT6_2,Q8TAT6-2,NPLOC4,Isoform 2 of Nuclear protein localization protein 4 homolog,1,4.88515,6.02768,0,7.20287,7.72034,0,7.9234,7.76272,0,6.45809,7.55925,0,5.53331,6.74106,17.2345,8.14008,6.81153,0
TTN__Q8WZ42_12,Q8WZ42-12,TTN,Isoform 12 of Titin,1,6.45118,7.23301,0,6.83389,7.61204,0,7.08496,6.01138,0,6.58345,6.79459,0,7.75654,7.54313,5.2913,7.24047,8.8101,8.75395
EDC4__Q6P2E9,Q6P2E9,EDC4,Enhancer of mRNA-decapping protein 4,2,7.39233,8.79954,0,3.39326,4.83218,1.3053,7.86521,7.34727,28.3453,5.35857,6.42447,0,5.6851,4.29495,0,5.46359,3.49297,0
TFAM__Q00059,Q00059,TFAM,"Transcription factor A, mitochondrial",3,6.5449,6.34827,0,5.56393,5.35073,10.8863,7.34695,6.40019,13.8399,6.68632,5.92805,0,6.87506,7.76864,0,5.88042,4.58031,0
NUP93__Q8N1F7,Q8N1F7,NUP93,Nuclear pore complex protein Nup93,6,6.35591,6.48056,0,3.64115,5.77664,5.01396,7.71762,6.89939,0,5.81862,6.47,0.0705818,8.98277,7.50024,10.0239,5.47662,7.78155,5.99045
ACLY__P53396,P53396,ACLY,ATP-citrate synthase,6,7.98338,8.99035,0,6.94081,7.3048,1.49955,8.99304,8.59643,0.465675,7.56023,7.66895,0,7.45397,7.06995,7.48269,6.951,5.03917,0
PA2G4__Q9UQ80,Q9UQ80,PA2G4,Proliferation-associated protein 2G4,6,7.15559,7.83024,0,8.33348,8.29803,0,7.75982,7.41931,0,8.06403,7.67046,0,7.23464,6.87941,4.21206,7.56721,7.76494,3.81081
CDK1__P06493,P06493,CDK1,Cyclin-dependent kinase 1,2,5.99934,6.86999,0,8.31885,7.92348,6.08897,6.30155,6.42927,0,7.41513,7.78222,0,5.8406,6.01448,11.2654,7.98561,5.76518,0
CDK9__P50750_2,P50750-2,CDK9,Isoform 2 of Cyclin-dependent kinase 9,3,5.85508,5.83069,0,6.76521,6.22287,0,7.04984,6.32581,5.48179,7.2682,6.39755,9.72701,5.66511,5.35147,9.52831,7.7986,4.73246,0
SRSF3__P84103,P84103,SRSF3,Serine/arginine-rich splicing factor 3,1,4.23071,4.47399,16.4469,5.6666,5.02011,0,3.77721,4.25053,24.7679,5.12835,5.86058,0,4.04585,4.74331,0,6.21494,5.37303,0
PRKDC__P78527,P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,47,6.39841,6.35595,2.63651,6.54286,7.21519,2.73178,6.50707,6.61185,2.72592,7.33142,7.25694,2.77113,6.89561,6.51217,4.0115,6.23907,6.89393,4.3627
RPL34__P49207,P49207,RPL34,60S ribosomal protein L34,2,6.87151,7.36239,0,10.0583,7.90099,0,7.4712,6.56951,0,6.59515,7.44986,0,7.31305,7.62304,0,11.2479,13.537,0
PDCD11__Q14690,Q14690,PDCD11,Protein RRP5 homolog,1,4.72664,3.85629,0,6.42515,5.28359,0,4.70592,3.14105,0,4.53737,4.24964,0,10.3117,11.2233,36.6893,4.8501,0,0
HSPH1__Q92598_4,Q92598-4,HSPH1,Isoform 4 of Heat shock protein 105 kDa,2,8.44664,8.05029,0,8.69092,7.98922,0,8.31795,8.58373,0,10.5072,8.68129,0,8.2506,7.51714,0,7.56538,7.39959,0
SHMT2__P34897,P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",6,10.1795,9.8172,0,6.28799,7.5244,0,9.00894,9.41456,2.52563,7.77229,7.74639,2.09539,8.31124,7.63656,0,5.79142,5.88852,0
HSPA4__P34932,P34932,HSPA4,Heat shock 70 kDa protein 4,4,7.97464,8.1989,0,8.42173,8.62957,0,7.89076,8.0502,0,8.54473,8.65565,0,8.24123,7.43092,1.23381,8.69647,8.03138,0
SYNCRIP__O60506,O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,3,6.0716,6.03963,0,7.27315,7.03424,10.9813,6.25295,5.28511,0,6.77564,6.00274,2.07164,6.35869,6.16665,0,6.82719,6.06016,10.7993
HNRNPR__O43390_2,O43390-2,HNRNPR,Isoform 2 of Heterogeneous nuclear ribonucleoprotein R,17,5.19409,5.08013,1.83031,8.41817,7.7244,0.448787,5.21901,5.13826,1.718,6.7571,6.64318,5.14768,6.81846,7.12746,8.24619,7.39347,7.69863,3.39665
SRSF7__Q16629,Q16629,SRSF7,Serine/arginine-rich splicing factor 7,2,6.05975,6.76193,0,8.68464,8.81799,0,6.46234,5.74647,0,7.62451,7.2157,0,7.28497,8.10086,1.90465,8.77375,9.38894,7.1735
HSPA1A__P0DMV8,P0DMV8,HSPA1A,Heat shock 70 kDa protein 1A,14,6.81559,6.95808,2.41021,5.82068,5.9799,4.2905,7.01111,6.94975,3.54001,6.18812,5.92278,2.52258,6.41913,6.21369,7.41204,5.89527,5.43424,4.21631
HSPA8__P11142,P11142,HSPA8,Heat shock cognate 71 kDa protein,22,2.59968,2.59568,13.8472,2.66083,2.73017,10.6312,2.62117,2.62167,16.3665,2.72926,2.68356,10.3692,2.75021,2.74891,5.02931,2.78991,2.99673,11.229
HSPA5__P11021,P11021,HSPA5,Endoplasmic reticulum chaperone BiP,8,0.396771,0.393969,24.5764,0.416873,0.405626,18.5417,0.37501,0.379855,21.2719,0.449462,0.450395,13.2505,0.425851,0.463953,6.564,0.427726,0.446161,10.7638
MDH2__P40926,P40926,MDH2,"Malate dehydrogenase, mitochondrial",9,9.19303,8.21705,0,5.87149,6.24347,4.6617,8.10331,8.41197,0,6.52618,6.3025,3.72706,8.02542,7.88006,5.02208,5.31515,4.86891,1.63063
LMNB1__P20700,P20700,LMNB1,Lamin-B1,2,8.95085,9.45535,0,6.7544,6.95043,0,10.2949,7.27711,0,8.61417,9.52028,0,8.14137,9.02877,0,8.198,6.81442,0
AHCY__P23526,P23526,AHCY,Adenosylhomocysteinase,7,6.63326,6.78692,0,8.15645,7.34118,0,7.018,7.47823,0,8.01153,7.8799,0.293776,6.76783,6.54359,4.09789,8.38716,8.88693,5.71735
